,raw_ractions,transformed_reactions,automap
0,c12c(cccc1)cc(C=O)c(Cl)n2>>c12c(cccc1)ncc(CO)c2,c12nc(Cl)c(C=O)cc1cccc2>>c12cc(CO)cnc1cccc2,[c:1]12[n:13][c:11](Cl)[c:8]([CH:9]=O)[cH:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2>>[c:2]12[cH:7][c:8]([CH2:9]O)[cH:11][n:13][c:1]1[cH:6][cH:5][cH:4][cH:3]2
1,n1c(Br)cccc1Br.n1c(Br)cccc1Br>>c1(cccc(Br)n1)c2ccccn2,n1c(Br)cccc1Br.n1c(Br)cccc1Br>>c1(-c2ncccc2)nc(Br)ccc1,[n:1]1[c:7]([Br:8])[cH:6][cH:5][cH:4][c:2]1Br.[n:9]1[c:15](Br)[cH:14][cH:13][cH:12][c:10]1Br>>[c:2]1(-[c:10]2[n:9][cH:15][cH:14][cH:13][cH:12]2)[n:1][c:7]([Br:8])[cH:6][cH:5][cH:4]1
2,c1(O)c(C)cccc1C>>c1(OC)c(C)cccc1C,c1(c(C)cccc1C)O>>c1(c(C)cccc1C)OC,[c:1]1([c:8]([CH3:9])[cH:7][cH:6][cH:5][c:3]1[CH3:4])[OH:2]>>[c:1]1([c:8]([CH3:9])[cH:7][cH:6][cH:5][c:3]1[CH3:4])[O:2]C
3,N12[C@]([H])(SC(C)(C)[C@@H]1C(=O)O)C(Br)(Br)C2=O>>N12[C@]([H])(SC(C)(C)[C@@H]1C(=O)OC(C)(C)C)C(Br)(Br)C2=O,N12C(=O)C(Br)(Br)[C@]1(SC([C@@H]2C(O)=O)(C)C)[H]>>N12C(=O)C(Br)(Br)[C@]1(SC([C@@H]2C(OC(C)(C)C)=O)(C)C)[H],[N:1]12[C:15](=[O:16])[C:12]([Br:14])([Br:13])[C@:2]1([S:4][C:5]([C@@H:8]2[C:9]([OH:11])=[O:10])([CH3:7])[CH3:6])[H]>>[N:1]12[C:15](=[O:16])[C:12]([Br:14])([Br:13])[C@:2]1([S:4][C:5]([C@@H:8]2[C:9]([O:11][C:5]([CH3:8])([CH3:7])[CH3:6])=[O:10])([CH3:7])[CH3:6])[H]
4,C1(C)=CCCCC1>>C1(O)CCCC=C1C,C1(CCCCC=1)C>>C1(C(C)=CCCC1)O,[C:1]1([CH2:7][CH2:6][CH2:5][CH2:4][CH:3]=1)[CH3:2]>>[CH:7]1([C:1]([CH3:2])=[CH:3][CH2:4][CH2:5][CH2:6]1)O
5,C(CCO)CCO.C(CCO)CCO>>C1(=O)CCCCCCOC(=O)CCCCCCO1,C(CCO)CCO.C(CCO)CCO>>C1(OCCCCCCC(=O)OCCCCCC1)=O,[CH2:1]([CH2:5][CH2:6]O)[CH2:2][CH2:3][OH:4].[CH2:8]([CH2:12][CH2:13]O)[CH2:9][CH2:10][OH:11]>>C1([O:4][CH2:3][CH2:2][CH2:1][CH2:5][CH2:6]CC(=O)[O:11][CH2:10][CH2:9][CH2:8][CH2:12][CH2:13]C1)=O
6,C(CCO)CCO.C(CCO)CCO>>C(=O)(CCCCCCO)OCCCCCCC(=O)O,C(CCO)CCO.C(CCO)CCO>>C(OCCCCCCC(O)=O)(CCCCCCO)=O,[CH2:1]([CH2:5][CH2:6]O)[CH2:2][CH2:3][OH:4].[CH2:8]([CH2:12][CH2:13]O)[CH2:9][CH2:10][OH:11]>>C(OCC[CH2:6][CH2:5][CH2:1][CH2:2][C:3]([OH:4])=O)(C[CH2:13][CH2:12][CH2:8][CH2:9][CH2:10][OH:11])=O
7,C(CCO)CCO.C(CCO)CCO>>C(=O)(CCCCO)OCCCCC(=O)O,C(CCO)CCO.C(CCO)CCO>>C(OCCCCC(O)=O)(CCCCO)=O,[CH2:1]([CH2:5][CH2:6][OH:7])[CH2:2][CH2:3][OH:4].[CH2:8]([CH2:12][CH2:13][OH:14])[CH2:9][CH2:10]O>>[C:6]([O:7][CH2:10][CH2:9][CH2:8][CH2:12][C:13]([OH:14])=O)([CH2:5][CH2:1][CH2:2][CH2:3][OH:4])=O
8,C(CCO)CCO.C(CCO)CCO>>C1(=O)CCCCOC(=O)CCCCO1,C(CCO)CCO.C(CCO)CCO>>C1(OCCCCC(=O)OCCCC1)=O,[CH2:1]([CH2:5][CH2:6][OH:7])[CH2:2][CH2:3][OH:4].[CH2:8]([CH2:12][CH2:13]O)[CH2:9][CH2:10]O>>[C:6]1([O:7][CH2:13][CH2:12][CH2:8][CH2:9][C:10](=O)[O:4][CH2:3][CH2:2][CH2:1][CH2:5]1)=O
9,C(CCO)CCO>>C1(=S)CCCCOC(=S)CCCCO1,C(CCO)CCO>>C1(OCCCCC(=S)OCCCC1)=S,[CH2:1]([CH2:5][CH2:6][OH:7])[CH2:2][CH2:3][OH:4]>>[C:6]1([O:7]CCCCC(=S)[O:4][CH2:3][CH2:2][CH2:1][CH2:5]1)=S
10,C(CCO)CCO>>C1(=S)CCCCCCOC(=S)CCCCCCO1,C(CCO)CCO>>C1(OCCCCCCC(=S)OCCCCCC1)=S,[CH2:1]([CH2:5][CH2:6]O)[CH2:2][CH2:3][OH:4]>>C1([O:4][CH2:3][CH2:2][CH2:1][CH2:5][CH2:6]CC(=S)[O:4][CH2:3][CH2:2][CH2:1][CH2:5][CH2:6]C1)=S
11,C(CCO)CCO>>c1(ccccc1)COC(=O)\C=C\CCCCOC(=O)CCCCCCO,C(CCO)CCO>>c1(COC(/C=C/CCCCOC(CCCCCCO)=O)=O)ccccc1,[CH2:1]([CH2:5][CH2:6]O)[CH2:2][CH2:3][OH:4]>>[c:2]1([CH2:3][O:4]C(/C=[CH:6]/[CH2:5][CH2:1][CH2:2][CH2:3][O:4]C(C[CH2:6][CH2:5][CH2:1][CH2:2][CH2:3][OH:4])=O)=O)cc[cH:6][cH:5][cH:1]1
12,C(CCO)CCO>>[Si](C)(C)(OCCCCCCC(=O)OCCCC\C=C\C(=O)OCc1ccccc1)C(C)(C)C,C(CCO)CCO>>[Si](C(C)(C)C)(OCCCCCCC(OCCCC/C=C/C(OCc1ccccc1)=O)=O)(C)C,[CH2:1]([CH2:5][CH2:6]O)[CH2:2][CH2:3][OH:4]>>[Si](C(C)(C)C)([O:4][CH2:3][CH2:2][CH2:1][CH2:5][CH2:6]CC([O:4][CH2:3][CH2:2][CH2:1][CH2:5]/[CH:6]=C/C([O:4][CH2:3][c:2]1[cH:1][cH:5][cH:6]cc1)=O)=O)(C)C
13,c12c(cccc1)CN(CC)C2>>c12c(cccc1)cn(CC)c2,c12CN(CC)Cc1cccc2>>c12c[n](CC)cc1cccc2,[c:1]12[CH2:11][N:8]([CH2:9][CH3:10])[CH2:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2>>[c:2]12[cH:7][n:8]([CH2:9][CH3:10])[cH:11][c:1]1[cH:6][cH:5][cH:4][cH:3]2
14,C(=O)(O)CCCCCO.C(=O)(O)CCCCCO>>C(=O)(CCCCCO)OCCCCCC(=O)O,C(CCCCCO)(O)=O.C(CCCCCO)(O)=O>>C(OCCCCCC(O)=O)(CCCCCO)=O,[C:1]([CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][OH:9])([OH:3])=[O:2].[C:10]([CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]O)([OH:12])=[O:11]>>[C:1]([O:3][CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][C:10]([OH:12])=[O:11])([CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][OH:9])=[O:2]
15,C(=O)(O)CCCCCO.C(=O)(O)CCCCCO>>C1(=S)CCCCCOC(=S)CCCCCO1,C(CCCCCO)(O)=O.C(CCCCCO)(O)=O>>C1(OCCCCCC(=S)OCCCCC1)=S,[C:1]([CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][OH:9])([OH:3])=O.[C:10]([CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]O)(O)=O>>[C:1]1([O:3][CH2:10][CH2:13][CH2:14][CH2:15][CH2:16][C:17](=S)[O:9][CH2:8][CH2:7][CH2:6][CH2:5][CH2:4]1)=S
16,C(CCO)CCO>>[Si](C)(C)(OCCCCCCC(=O)O)C(C)(C)C,C(CCO)CCO>>[Si](C(C)(C)C)(OCCCCCCC(O)=O)(C)C,[CH2:1]([CH2:5][CH2:6]O)[CH2:2][CH2:3][OH:4]>>[Si](C(C)(C)C)(OCC[CH2:6][CH2:5][CH2:1][CH2:2][C:3]([OH:4])=O)(C)C
17,[C@H]1(CO)OCCC[C@@H]1O>>[C@@]12([H])[C@]([H])(OCCC1)CC(=O)O[C@]([H])(CCCO3)[C@]3([H])CC(=S)O2,[C@H]1([C@@H](O)CCCO1)CO>>[C@]12(OC(=S)C[C@]3([H])OCCC[C@@]3([H])OC(=O)C[C@]1(OCCC2)[H])[H],[C@H:1]1([C@@H:8]([OH:9])[CH2:7][CH2:6][CH2:5][O:4]1)[CH2:2]O>>[C@:8]12([O:9]C(=S)[CH2:2][C@:1]3([H])[O:4][CH2:5][CH2:6][CH2:7][C@@:8]3([H])[O:9]C(=O)[CH2:2][C@:1]1([O:4][CH2:5][CH2:6][CH2:7]2)[H])[H]
18,[C@H]1(CO)OCCC[C@@H]1O>>[C@@]12([H])[C@]([H])(OCCC1)CC(=O)O[C@]([H])(CCCO3)[C@]3([H])CC(=O)O2,[C@H]1([C@@H](O)CCCO1)CO>>[C@]12(OC(=O)C[C@]3([H])OCCC[C@@]3([H])OC(=O)C[C@]1(OCCC2)[H])[H],[C@H:1]1([C@@H:8]([OH:9])[CH2:7][CH2:6][CH2:5][O:4]1)[CH2:2]O>>[C@:8]12([O:9]C(=O)[CH2:2][C@:1]3([H])[O:4][CH2:5][CH2:6][CH2:7][C@@:8]3([H])[O:9]C(=O)[CH2:2][C@:1]1([O:4][CH2:5][CH2:6][CH2:7]2)[H])[H]
19,[C@H]1(CO)OCCC[C@@H]1O>>[C@@H]1(CCCO[C@@H]1CC(=O)O)OC(=O)C[C@@H]2OCCC[C@H]2O,[C@H]1([C@@H](O)CCCO1)CO>>[C@@H]1(OC(C[C@H]2[C@H](O)CCCO2)=O)[C@@H](CC(O)=O)OCCC1,[C@H:1]1([C@@H:8]([OH:9])[CH2:7][CH2:6][CH2:5][O:4]1)[CH2:2]O>>[C@@H:8]1([O:9]C([CH2:2][C@H:1]2[C@H:8]([OH:9])[CH2:7][CH2:6][CH2:5][O:4]2)=O)[C@@H:1]([CH2:2]C(O)=O)[O:4][CH2:5][CH2:6][CH2:7]1
20,[C@H]1(CO)OCCC[C@@H]1O.[C@H]1(CO)OCCC[C@@H]1O>>[C@@]12([H])[C@]([H])(OCCC1)CCC(=O)O[C@]([H])(CCCO3)[C@]3([H])CCC(=O)O2,[C@H]1([C@@H](O)CCCO1)CO.[C@H]1([C@@H](O)CCCO1)CO>>[C@]12(OC(=O)CC[C@]3([H])OCCC[C@@]3([H])OC(=O)CC[C@]1(OCCC2)[H])[H],[C@H:1]1([C@@H:8]([OH:9])[CH2:7][CH2:6][CH2:5][O:4]1)[CH2:2]O.[C@H:10]1([C@@H:17]([OH:18])[CH2:16][CH2:15][CH2:14][O:13]1)[CH2:11]O>>[C@:17]12([O:18]C(=O)C[CH2:2][C@:1]3([H])[O:4][CH2:5][CH2:6][CH2:7][C@@:8]3([H])[O:9]C(=O)C[CH2:11][C@:10]1([O:13][CH2:14][CH2:15][CH2:16]2)[H])[H]
21,[C@H]1(CO)OCCC[C@@H]1O>>[C@@]12([H])[C@]([H])(OCCC1)CCC(=O)O[C@]([H])(CCCO3)[C@]3([H])CCC(=S)O2,[C@H]1([C@@H](O)CCCO1)CO>>[C@]12(OC(=S)CC[C@]3([H])OCCC[C@@]3([H])OC(=O)CC[C@]1(OCCC2)[H])[H],[C@H:1]1([C@@H:8]([OH:9])[CH2:7][CH2:6][CH2:5][O:4]1)[CH2:2]O>>[C@:8]12([O:9]C(=S)C[CH2:2][C@:1]3([H])[O:4][CH2:5][CH2:6][CH2:7][C@@:8]3([H])[O:9]C(=O)C[CH2:2][C@:1]1([O:4][CH2:5][CH2:6][CH2:7]2)[H])[H]
22,[C@H]1(CO)OCCC[C@@H]1O>>[C@@H]1(CCCO[C@@H]1CC(=O)O)OC(=O)CC[C@@H]2OCCC[C@H]2O,[C@H]1([C@@H](O)CCCO1)CO>>[C@@H]1(OC(CC[C@H]2[C@H](O)CCCO2)=O)[C@@H](CC(O)=O)OCCC1,[C@H:1]1([C@@H:8]([OH:9])[CH2:7][CH2:6][CH2:5][O:4]1)[CH2:2]O>>[C@@H:8]1([O:9]C(C[CH2:2][C@H:1]2[C@H:8]([OH:9])[CH2:7][CH2:6][CH2:5][O:4]2)=O)[C@@H:1]([CH2:2]C(O)=O)[O:4][CH2:5][CH2:6][CH2:7]1
23,[C@H]1(CO)OCCC[C@@H]1O>>[C@@]12([H])[C@]([H])(CCCO1)OC(=O)CC[C@]([H])(OCCC3)[C@]3([H])OC(=O)C2,[C@H]1([C@@H](O)CCCO1)CO>>[C@]12(CC(=O)O[C@]3([H])CCCO[C@@]3([H])CCC(=O)O[C@]1(CCCO2)[H])[H],[C@H:1]1([C@@H:8]([OH:9])[CH2:7][CH2:6][CH2:5][O:4]1)[CH2:2]O>>[C@:1]12([CH2:2]C(=O)[O:9][C@:8]3([H])[CH2:7][CH2:6][CH2:5][O:4][C@@:1]3([H])[CH2:2]CC(=O)[O:9][C@:8]1([CH2:7][CH2:6][CH2:5][O:4]2)[H])[H]
24,[C@H]1(CO)OCCC[C@@H]1O.[C@H]1(CO)OCCC[C@@H]1O>>[C@@]12([H])[C@]([H])(CCCO1)OC(=S)CC[C@]([H])(OCCC3)[C@]3([H])OC(=S)C2,[C@H]1([C@@H](O)CCCO1)CO.[C@H]1([C@@H](O)CCCO1)CO>>[C@]12(CC(=S)O[C@]3([H])CCCO[C@@]3([H])CCC(=S)O[C@]1(CCCO2)[H])[H],[C@H:1]1([C@@H:8]([OH:9])[CH2:7][CH2:6][CH2:5][O:4]1)[CH2:2]O.[C@H:10]1([C@@H:17]([OH:18])[CH2:16][CH2:15][CH2:14][O:13]1)[CH2:11]O>>[C@:1]12([CH2:2]C(=S)[O:18][C@:17]3([H])[CH2:16][CH2:15][CH2:14][O:13][C@@:10]3([H])[CH2:11]CC(=S)[O:9][C@:8]1([CH2:7][CH2:6][CH2:5][O:4]2)[H])[H]
25,[C@H]1(CO)OCCC[C@@H]1O.[C@H]1(CO)OCCC[C@@H]1O>>[C@@]12([H])[C@]([H])(OCCC1)CCC(=S)O[C@@]3([H])[C@@]([H])(OCCC3)CCCC(=S)O2,[C@H]1([C@@H](O)CCCO1)CO.[C@H]1([C@@H](O)CCCO1)CO>>[C@]12(OC(=S)CCC[C@@]3(OCCC[C@@]3([H])OC(=S)CC[C@]1(OCCC2)[H])[H])[H],[C@H:1]1([C@@H:8]([OH:9])[CH2:7][CH2:6][CH2:5][O:4]1)[CH2:2]O.[C@H:10]1([C@@H:17]([OH:18])[CH2:16][CH2:15][CH2:14][O:13]1)[CH2:11]O>>[C@:17]12([O:18]C(=S)CC[CH2:2][C@@:1]3([O:4][CH2:5][CH2:6][CH2:7][C@@:8]3([H])[O:9]C(=S)C[CH2:11][C@:10]1([O:13][CH2:14][CH2:15][CH2:16]2)[H])[H])[H]
26,[C@H]1(CO)OCCC[C@@H]1O.[C@H]1(CO)OCCC[C@@H]1O>>[C@@H]1(CCCO[C@@H]1CCC(=O)O)OC(=O)CC[C@@H]2OCCC[C@H]2O,[C@H]1([C@@H](O)CCCO1)CO.[C@H]1([C@@H](O)CCCO1)CO>>[C@@H]1(OC(CC[C@H]2[C@H](O)CCCO2)=O)[C@@H](CCC(O)=O)OCCC1,[C@H:1]1([C@@H:8]([OH:9])[CH2:7][CH2:6][CH2:5][O:4]1)[CH2:2]O.[C@H:10]1([C@@H:17]([OH:18])[CH2:16][CH2:15][CH2:14][O:13]1)[CH2:11]O>>[C@@H:17]1([O:18]C(C[CH2:2][C@H:1]2[C@H:8]([OH:9])[CH2:7][CH2:6][CH2:5][O:4]2)=O)[C@@H:10]([CH2:11]CC(O)=O)[O:13][CH2:14][CH2:15][CH2:16]1
27,[C@H]1(CO)OCCC[C@@H]1O>>[C@@H]1(CCCO[C@@H]1CC(=O)O)OC(=O)CCC[C@@H]2OCCC[C@H]2O,[C@H]1([C@@H](O)CCCO1)CO>>[C@@H]1(OC(CCC[C@H]2[C@H](O)CCCO2)=O)[C@@H](CC(O)=O)OCCC1,[C@H:1]1([C@@H:8]([OH:9])[CH2:7][CH2:6][CH2:5][O:4]1)[CH2:2]O>>[C@@H:8]1([O:9]C(CC[CH2:2][C@H:1]2[C@H:8]([OH:9])[CH2:7][CH2:6][CH2:5][O:4]2)=O)[C@@H:1]([CH2:2]C(O)=O)[O:4][CH2:5][CH2:6][CH2:7]1
28,[C@H]1(CO)OCCC[C@@H]1O.[C@H]1(CO)OCCC[C@@H]1O>>[C@@]12([H])[C@]([H])(CCCO1)OC(=O)CCC[C@]([H])(OCCC3)[C@]3([H])OC(=O)C2,[C@H]1([C@@H](O)CCCO1)CO.[C@H]1([C@@H](O)CCCO1)CO>>[C@]12(CC(=O)O[C@]3([H])CCCO[C@@]3([H])CCCC(=O)O[C@]1(CCCO2)[H])[H],[C@H:1]1([C@@H:8]([OH:9])[CH2:7][CH2:6][CH2:5][O:4]1)[CH2:2]O.[C@H:10]1([C@@H:17]([OH:18])[CH2:16][CH2:15][CH2:14][O:13]1)[CH2:11]O>>[C@:1]12([CH2:2]C(=O)[O:18][C@:17]3([H])[CH2:16][CH2:15][CH2:14][O:13][C@@:10]3([H])[CH2:11]CCC(=O)[O:9][C@:8]1([CH2:7][CH2:6][CH2:5][O:4]2)[H])[H]
29,[C@H]1(CO)OCCC[C@@H]1O.[C@H]1(CO)OCCC[C@@H]1O>>[C@@]12([H])[C@]([H])(CCCO1)OC(=S)CCC[C@]([H])(OCCC3)[C@]3([H])OC(=S)C2,[C@H]1([C@@H](O)CCCO1)CO.[C@H]1([C@@H](O)CCCO1)CO>>[C@]12(CC(=S)O[C@]3([H])CCCO[C@@]3([H])CCCC(=S)O[C@]1(CCCO2)[H])[H],[C@H:1]1([C@@H:8]([OH:9])[CH2:7][CH2:6][CH2:5][O:4]1)[CH2:2]O.[C@H:10]1([C@@H:17]([OH:18])[CH2:16][CH2:15][CH2:14][O:13]1)[CH2:11]O>>[C@:1]12([CH2:2]C(=S)[O:18][C@:17]3([H])[CH2:16][CH2:15][CH2:14][O:13][C@@:10]3([H])[CH2:11]CCC(=S)[O:9][C@:8]1([CH2:7][CH2:6][CH2:5][O:4]2)[H])[H]
30,[C@H]1(CO)OCCC[C@@H]1O.[C@H]1(CO)OCCC[C@@H]1O>>[C@@]12([H])[C@]([H])(OCCC1)CCC(=O)O[C@@]3([H])[C@@]([H])(OCCC3)CCCC(=O)O2,[C@H]1([C@@H](O)CCCO1)CO.[C@H]1([C@@H](O)CCCO1)CO>>[C@]12(OC(=O)CCC[C@@]3(OCCC[C@@]3([H])OC(=O)CC[C@]1(OCCC2)[H])[H])[H],[C@H:1]1([C@@H:8]([OH:9])[CH2:7][CH2:6][CH2:5][O:4]1)[CH2:2]O.[C@H:10]1([C@@H:17]([OH:18])[CH2:16][CH2:15][CH2:14][O:13]1)[CH2:11]O>>[C@:17]12([O:18]C(=O)CC[CH2:2][C@@:1]3([O:4][CH2:5][CH2:6][CH2:7][C@@:8]3([H])[O:9]C(=O)C[CH2:11][C@:10]1([O:13][CH2:14][CH2:15][CH2:16]2)[H])[H])[H]
31,[C@H]1(CO)OCCC[C@@H]1O.[C@H]1(CO)OCCC[C@@H]1O>>[C@@H]1(CCCO[C@@H]1CCC(=O)O)OC(=O)CCC[C@@H]2OCCC[C@H]2O,[C@H]1([C@@H](O)CCCO1)CO.[C@H]1([C@@H](O)CCCO1)CO>>[C@@H]1(OC(CCC[C@H]2[C@H](O)CCCO2)=O)[C@@H](CCC(O)=O)OCCC1,[C@H:1]1([C@@H:8]([OH:9])[CH2:7][CH2:6][CH2:5][O:4]1)[CH2:2]O.[C@H:10]1([C@@H:17]([OH:18])[CH2:16][CH2:15][CH2:14][O:13]1)[CH2:11]O>>[C@@H:17]1([O:18]C(CC[CH2:2][C@H:1]2[C@H:8]([OH:9])[CH2:7][CH2:6][CH2:5][O:4]2)=O)[C@@H:10]([CH2:11]CC(O)=O)[O:13][CH2:14][CH2:15][CH2:16]1
32,[C@H]1(CO)OCCC[C@@H]1O.[C@H]1(CO)OCCC[C@@H]1O>>[C@@]12([H])[C@]([H])(OCCC1)CC(=S)O[C@]([H])(CCCO3)[C@]3([H])CC(=S)O2,[C@H]1([C@@H](O)CCCO1)CO.[C@H]1([C@@H](O)CCCO1)CO>>[C@]12(OC(=S)C[C@]3([H])OCCC[C@@]3([H])OC(=S)C[C@]1(OCCC2)[H])[H],[C@H:1]1([C@@H:8]([OH:9])[CH2:7][CH2:6][CH2:5][O:4]1)[CH2:2]O.[C@H:10]1([C@@H:17]([OH:18])[CH2:16][CH2:15][CH2:14][O:13]1)[CH2:11]O>>[C@:17]12([O:18]C(=S)[CH2:2][C@:1]3([H])[O:4][CH2:5][CH2:6][CH2:7][C@@:8]3([H])[O:9]C(=S)[CH2:11][C@:10]1([O:13][CH2:14][CH2:15][CH2:16]2)[H])[H]
33,[C@H]1(CO)OCCC[C@@H]1O.[C@H]1(CO)OCCC[C@@H]1O>>[C@@]12([H])[C@]([H])(OCCC1)CCC(=S)O[C@]([H])(CCCO3)[C@]3([H])CCC(=S)O2,[C@H]1([C@@H](O)CCCO1)CO.[C@H]1([C@@H](O)CCCO1)CO>>[C@]12(OC(=S)CC[C@]3([H])OCCC[C@@]3([H])OC(=S)CC[C@]1(OCCC2)[H])[H],[C@H:1]1([C@@H:8]([OH:9])[CH2:7][CH2:6][CH2:5][O:4]1)[CH2:2]O.[C@H:10]1([C@@H:17]([OH:18])[CH2:16][CH2:15][CH2:14][O:13]1)[CH2:11]O>>[C@:17]12([O:18]C(=S)C[CH2:2][C@:1]3([H])[O:4][CH2:5][CH2:6][CH2:7][C@@:8]3([H])[O:9]C(=S)C[CH2:11][C@:10]1([O:13][CH2:14][CH2:15][CH2:16]2)[H])[H]
34,C(C)(C)C(C)=O>>C(=O)(\C=C\C)C(C)C,C(C(=O)C)(C)C>>C(C(C)C)(/C=C/C)=O,[CH:1]([C:4](=[O:6])[CH3:5])([CH3:3])[CH3:2]>>[C:4]([CH:1]([CH3:3])[CH3:2])(/[CH:5]=C/C)=[O:6]
35,c12c(cccc1)[nH]cc2C=O>>c12c(cccc1)[nH]cc2CCN(=O)=O,c12c(C=O)c[nH]c1cccc2>>c12c(CCN(=O)=O)c[nH]c1cccc2,[c:1]12[c:9]([CH:10]=O)[cH:8][nH:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2>>[c:1]12[c:9]([CH2:10]CN(=O)=O)[cH:8][nH:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2
36,C(=O)(O)CCCCCO>>[Si](C)(C)(OCCCCCC(=O)OCc1ccccc1)C(C)(C)C,C(CCCCCO)(O)=O>>[Si](C(C)(C)C)(OCCCCCC(OCc1ccccc1)=O)(C)C,[C:1]([CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][OH:9])([OH:3])=[O:2]>>[Si](C(C)(C)C)([O:9][CH2:8][CH2:7][CH2:6][CH2:5][CH2:4][C:1]([O:3]Cc1ccccc1)=[O:2])(C)C
37,C([H])(O)(C=C)C=C>>[C@@H]1(CO1)[C@H](C=C)OCc2ccc(OC)cc2,C(C=C)(C=C)(O)[H]>>[C@@H]1([C@@H](OCc2ccc(OC)cc2)C=C)OC1,[C:1]([CH:6]=[CH2:7])([CH:4]=[CH2:5])([OH:3])[H]>>[C@@H]1([C@@H](OCc2[cH:7][cH:6][c:1]([O:3]C)[cH:4][cH:5]2)C=C)OC1
38,c1(CN)ccccc1>>N1(Cc2ccccc2)[C@@H](C(=O)O)C[C@H]1C(=O)O,c1(ccccc1)CN>>N1([C@H](C(O)=O)C[C@@H]1C(O)=O)Cc1ccccc1,[c:1]1([cH:8][cH:7][cH:6][cH:5][cH:4]1)[CH2:2][NH2:3]>>[N:3]1([C@H](C(O)=O)C[C@@H]1C(O)=O)[CH2:2][c:1]1[cH:8][cH:7][cH:6][cH:5][cH:4]1
39,[C@H]1(OC(C)=O)[C@H](OC(C)=O)[C@@H](COC(C)=O)O[C@@H](OC(C)=O)[C@@H]1OC(C)=O>>[C@H]1(OC(C)=O)[C@H](Oc2ccc(N)cc2)O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,[C@H]1([C@@H](OC(=O)C)[C@H](OC(=O)C)O[C@H](COC(=O)C)[C@H]1OC(=O)C)OC(=O)C>>[C@H]1([C@@H](OC(=O)C)[C@H](OC(=O)C)[C@@H](COC(=O)C)O[C@H]1Oc1ccc(N)cc1)OC(=O)C,[C@H:1]1([C@@H:23]([O:24][C:25](=[O:27])[CH3:26])[C@H:18](OC(=O)C)[O:17][C@H:11](COC(=O)C)[C@H:6]1[O:7][C:8](=[O:10])[CH3:9])[O:2][C:3](=[O:5])[CH3:4]>>[C@H:6]1([C@@H:1]([O:2][C:3](=[O:5])[CH3:4])[C@H:23]([O:24][C:25](=[O:27])[CH3:26])[C@@H:18](COC(=O)C)[O:17][C@H:11]1Oc1ccc(N)cc1)[O:7][C:8](=[O:10])[CH3:9]
40,C(=O)(Cl)\C=C(\C)/C>>C1(C(C)C)C(=O)NC1OC(C)=O,C(/C=C(\C)/C)(Cl)=O>>C1(C(OC(=O)C)NC1=O)C(C)C,C(/C=[C:5](\[CH3:7])/[CH3:6])(Cl)=O>>[CH:5]1([CH:6](OC(=O)C)N[C:7]1=O)C(C)C
41,c1(ccccc1)CC(=O)O>>c1(C([2H])([2H])C=O)ccccc1,c1(CC(O)=O)ccccc1>>c1(ccccc1)C(C=O)([2H])[2H],[c:1]1([CH2:7][C:8](O)=[O:9])[cH:6][cH:5][cH:4][cH:3][cH:2]1>>[c:1]1([cH:6][cH:5][cH:4][cH:3][cH:2]1)[C:7]([CH:8]=[O:9])([2H])[2H]
42,c12c(cccc1)ccc(C#N)n2>>c12c(cccc1)CCC(CN)N2,c12nc(C#N)ccc1cccc2>>c12NC(CN)CCc1cccc2,[c:1]12[n:12][c:9]([C:10]#N)[cH:8][cH:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2>>[c:1]12[NH:12][CH:9]([CH2:10]N)[CH2:8][CH2:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2
43,C(=O)(O)CCCCCO>>c1(ccccc1)COC(=O)CCCCCO,C(CCCCCO)(O)=O>>c1(COC(CCCCCO)=O)ccccc1,[C:1]([CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][OH:9])([OH:3])=[O:2]>>c1(C[O:3][C:1]([CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][OH:9])=[O:2])ccccc1
44,C1(SCCCS1)CCc2ccccc2>>[Si](C)(C)(C(=O)CCc1ccccc1)C(C)(C)C,C1(CCc2ccccc2)SCCCS1>>[Si](C(C)(C)C)(C(CCc1ccccc1)=O)(C)C,[CH:1]1([CH2:7][CH2:8][c:9]2[cH:14][cH:13][cH:12][cH:11][cH:10]2)SCCCS1>>[Si](C(C)(C)C)([C:1]([CH2:7][CH2:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)=O)(C)C
